year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,6,tiktok,Promo Bundling 3 Pcs Gendes Sweet Aromatic Feminine Care All Varian || 7 Miracle Bioactives,30,30,5339683.00
2024,6,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,96,97,5292198.00
2024,4,tiktok,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY Mengencangkan,42,44,5169937.00
2024,11,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,91,94,5142687.00
2024,7,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla || 5 Miracle Bioactives,50,53,5122788.00
2024,7,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum dan hazelnut,30,30,4891247.00
2024,12,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam Vanilla dan Spray Beautyvaganza,41,41,4862289.00
2024,7,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,56,58,4823009.00
2024,4,shopee,PROMO BUNDLING GENDES HANYA 87RB SAJA || PAKET 2 SPRAY,59,59,4786347.00
2024,7,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,41,41,4733068.00
2024,12,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Grape dan Sweet Aromatic Feminine Care Spray,40,41,4674539.00
2024,10,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,83,84,4513857.00
2024,10,shopee,Gendes Sweet Aromatic Feminine Care with Vanilla 7 Miracle Bioactives Merawat Kewanitaan 23 ml,86,86,4491954.00
2024,12,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam vanilla dan Spray,41,41,4451052.00
2024,10,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Grape dan Sweet Aromatic Feminine Care Spray,47,47,4433700.00
2024,12,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Mango dan Sweet Aromatic Feminine Care Spray,42,42,4340259.00
2024,5,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,49,49,4203925.00
2024,8,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,37,37,4202492.00
2024,7,tiktok,Gendes Sweet Aromatic Spray with Bubble Gum 7 Miracle Bioactives,54,54,4199863.00
2024,4,tiktok,PROMO BUNDLING GENDES HANYA 87RB SAJA || PAKET 2 SPRAY,42,42,4167485.00
2024,12,tiktok,"Gendes Promo Bundling Aromatic Feminine Care Wash Foam Vanilla, Bubble Gum, Grape dan Mango",24,27,4152514.00
2024,10,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Grape dan Spray,36,37,3995529.00
2024,12,tiktok,PROMO BUNDLING LIVE GENDES  || PAKET 1 SPRAY + 1 FOAM BEBAS VARIAN,35,36,3883447.00
2024,8,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum dan hazelnut,23,23,3817464.00
2024,5,shopee,Gendes Sweet Aromatic Feminine Care Spray with Vanilla | 7 Miracle Bioactives | Mencerahkan & Menghaluskan Kulit Kewanitaan,64,65,3789220.00
2024,11,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam dan Spray Beautyvaganza,26,27,3766104.00
2024,11,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Grape dan Sweet Aromatic Feminine Care Spray,46,47,3621588.00
2024,8,tiktok,GENDES Sweet Aromatic Spray dengan vanilla 7 Miracle Bioactives 23ml,51,54,3606519.00
2024,12,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,30,31,3602850.00
2024,10,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,58,60,3601488.00
2024,7,tiktok,Promo Bundling Gendes | 3 Varian Spray & Wash Foam Vanilla,15,15,3488941.00
2024,11,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Mango dan Spray,30,30,3469610.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Spray with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,37,41,3349940.00
