year,month,marketplace_name,province,city,total_customers,total_orders,total_revenue
2024,10,tiktok,jawa timur,kabupaten sidoarjo,26,27,2706290.00
2024,8,tiktok,banten,kota tangerang selatan,22,25,2705144.00
2024,10,tiktok,di yogyakarta,kabupaten sleman,26,27,2692745.00
2024,5,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,6,9,2662615.00
2024,8,shopee,banten,kota tangerang selatan,31,32,2662032.00
2024,10,shopee,dki jakarta,kota jakarta selatan,30,34,2647417.00
2024,10,tiktok,bali,kabupaten jembrana,22,24,2639544.00
2024,10,shopee,dki jakarta,kota jakarta timur,26,26,2632248.00
2024,9,tiktok,jawa barat,kabupaten bogor,23,24,2597885.00
2024,10,shopee,banten,kabupaten tangerang,30,32,2553206.00
2024,9,tiktok,dki jakarta,kota jakarta selatan,24,25,2527668.00
2024,10,tiktok,dki jakarta,kota jakarta utara,23,24,2524165.00
2024,11,tiktok,sulawesi selatan,kota makassar,25,26,2515693.00
2024,7,tiktok,kalimantan selatan,kota banjarmasin,21,21,2513186.00
2024,7,tiktok,sulawesi selatan,kota makassar,22,23,2510591.00
2024,11,tiktok,banten,kota tangerang,17,17,2502519.00
2024,9,tiktok,jawa barat,kabupaten bekasi,20,23,2494990.00
2024,8,tiktok,di yogyakarta,kabupaten sleman,22,22,2488112.00
2024,9,tiktok,bali,kabupaten buleleng,20,21,2480573.00
2024,9,tiktok,banten,kabupaten tangerang,25,26,2473907.00
2024,10,shopee,jawa barat,kota depok,29,35,2470047.00
2024,7,tiktok,dki jakarta,kota jakarta selatan,21,22,2465879.00
2024,10,shopee,jawa barat,kabupaten karawang,27,29,2456312.00
2024,10,tiktok,jawa barat,kota bekasi,23,24,2446054.00
2024,9,tiktok,jawa barat,kabupaten cianjur,21,22,2434313.00
2024,11,tiktok,jawa timur,kabupaten sidoarjo,23,23,2432965.00
2024,9,tiktok,jawa tengah,kabupaten tegal,17,18,2404480.00
2024,8,tiktok,jawa barat,kabupaten bogor,21,21,2395879.00
2024,10,tiktok,jawa tengah,kota semarang,20,20,2352680.00
2024,12,tiktok,jawa barat,kabupaten bekasi,23,25,2343748.00
2024,6,tiktok,jawa timur,kabupaten sidoarjo,12,15,2334896.00
2024,6,shopee,jawa barat,kabupaten karawang,28,29,2327473.00
2024,9,tiktok,jawa timur,kabupaten pamekasan,13,16,2315608.00
2024,10,tiktok,jawa barat,kabupaten purwakarta,20,21,2306680.00
2024,11,tiktok,sulawesi selatan,kabupaten maros,3,3,2298753.00
2024,10,tiktok,banten,kota tangerang selatan,22,24,2282908.00
2024,12,shopee,banten,kota tangerang selatan,26,28,2280278.00
2024,7,tiktok,jawa barat,kota depok,14,16,2270574.00
2024,8,shopee,banten,kota tangerang,28,33,2263446.00
2024,10,shopee,dki jakarta,kota jakarta utara,30,33,2259311.00
2024,6,shopee,dki jakarta,kota jakarta pusat,23,25,2243322.00
2024,10,tiktok,bali,kabupaten badung,20,20,2242830.00
2024,10,tiktok,jawa barat,kabupaten cianjur,17,18,2235612.00
2024,12,tiktok,banten,kota serang,16,17,2235073.00
2024,10,tiktok,jawa tengah,kota surakarta (solo),17,21,2233902.00
2024,9,shopee,dki jakarta,kota jakarta utara,19,19,2229161.00
